case_name,trace_success,trace_seconds
admidio_v4_2_0_tests/001_userSuccessLoginTest,True,26.706
admidio_v4_2_0_tests/002_userMenuClickableTest,True,24.056
admidio_v4_2_0_tests/003_userUploadProfileImageTest,True,16.933
admidio_v4_2_0_tests/004_userEditProfileTest,True,24.447
admidio_v4_2_0_tests/005_userDeleteProfileImageTest,True,15.006
admidio_v4_2_0_tests/006_userCheckChangeHistoryTest,True,23.174
admidio_v4_2_0_tests/007_editRoleMembershipsInMyprofileTest,True,18.558
admidio_v4_2_0_tests/008_createAnnouncementCategoryTest,True,26.333
admidio_v4_2_0_tests/009_addNewAnnouncementTest,True,24.199
admidio_v4_2_0_tests/010_editAnnouncementCategoryTest,True,18.682
admidio_v4_2_0_tests/011_editAnnouncementTest,True,17.796
admidio_v4_2_0_tests/012_changeAnnouncementTypeFilterTest,True,18.589
admidio_v4_2_0_tests/013_copyAnnouncementTest,True,18.615
admidio_v4_2_0_tests/014_createFileFolderTest,True,16.604
admidio_v4_2_0_tests/015_editFolderTest,True,17.95
admidio_v4_2_0_tests/016_editFolderPermissionTest,True,22.088
admidio_v4_2_0_tests/017_uploadFileToFolderTest,True,16.738
admidio_v4_2_0_tests/018_editUploadedFileTest,True,19.092
admidio_v4_2_0_tests/019_editMenuDocumentPermissionsTest,True,22.111
admidio_v4_2_0_tests/020_createAlbumTest,True,18.799
admidio_v4_2_0_tests/021_editAlbumTest,True,16.543
admidio_v4_2_0_tests/022_lockAlbumTest,True,14.38
admidio_v4_2_0_tests/023_unlockAlbumTest,True,13.309
admidio_v4_2_0_tests/024_uploadPhotosToAlbumTest,True,16.592
admidio_v4_2_0_tests/025_rotatePhotoTest,True,21.918
admidio_v4_2_0_tests/026_createRoleCategoriesTest,True,17.916
admidio_v4_2_0_tests/027_editRoleCategoriesTest,True,17.719
admidio_v4_2_0_tests/028_createRoleTest,True,18.936
admidio_v4_2_0_tests/029_assignRoleMembersTest,True,15.49
admidio_v4_2_0_tests/030_deactivateRoleTest,True,14.337
admidio_v4_2_0_tests/031_activateRoleTest,True,16.559
admidio_v4_2_0_tests/032_editRoleTest,True,15.416
admidio_v4_2_0_tests/033_changeRoleTypeFilterTest,True,18.914
admidio_v4_2_0_tests/034_createLinkCategoriesTest,True,24.133
admidio_v4_2_0_tests/035_createNewLinkTest,True,21.951
admidio_v4_2_0_tests/036_accessLinkTest,True,18.824
admidio_v4_2_0_tests/037_editLinkCategoriesTest,True,24.324
admidio_v4_2_0_tests/038_editLinkTest,True,17.544
admidio_v4_2_0_tests/039_sortMessagesTest,True,19.642
admidio_v4_2_0_tests/040_deleteLinkTest,True,14.264
admidio_v4_2_0_tests/041_deleteLinkCategoriesTest,True,15.474
admidio_v4_2_0_tests/042_deleteRoleTest,True,14.234
admidio_v4_2_0_tests/043_deleteRoleCategoriesTest,True,15.517
admidio_v4_2_0_tests/044_deletePhotoTest,True,15.458
admidio_v4_2_0_tests/045_deleteAlbumTest,True,15.366
admidio_v4_2_0_tests/046_deleteUploadedFileTest,True,15.473
admidio_v4_2_0_tests/047_deleteAnnouncementTest,True,15.388
admidio_v4_2_0_tests/048_deleteAnnouncementCategoryTest,True,15.485
claroline_v1_7_9_tests/001_LoginUser,True,16.012
claroline_v1_7_9_tests/002_AddUser,True,20.581
claroline_v1_7_9_tests/003_AddMultipleUsers,True,32.537
claroline_v1_7_9_tests/004_AddWrongEmailUser,True,21.701
claroline_v1_7_9_tests/005_AddWrongPasswordUser,True,20.613
claroline_v1_7_9_tests/006_AddEmptyUser,True,20.688
claroline_v1_7_9_tests/007_AddTwiceUser,True,20.566
claroline_v1_7_9_tests/008_SearchUser,True,16.079
claroline_v1_7_9_tests/009_SearchMultipleUsers,True,15.089
claroline_v1_7_9_tests/010_SearchStudent,True,16.205
claroline_v1_7_9_tests/011_SearchTeacher,True,16.347
claroline_v1_7_9_tests/012_AddCourse,True,21.359
claroline_v1_7_9_tests/013_AddPasswordCourse,True,22.231
claroline_v1_7_9_tests/014_AddDeniedCourse,True,20.1
claroline_v1_7_9_tests/015_SearchCourse,True,15.0
claroline_v1_7_9_tests/016_SearchAllowedCourse,True,16.364
claroline_v1_7_9_tests/017_SearchAndRemovePasswordCourse,True,18.651
claroline_v1_7_9_tests/018_SearchAndRemoveDeniedCourse,True,18.395
claroline_v1_7_9_tests/019_AddCourseEvent,True,19.613
claroline_v1_7_9_tests/020_AddCourseExercise,True,16.488
claroline_v1_7_9_tests/021_AddCourseExerciseQuestions,True,67.467
claroline_v1_7_9_tests/022_MakeCourseExerciseVisible,True,15.319
claroline_v1_7_9_tests/023_EnrolUser,True,15.148
claroline_v1_7_9_tests/024_EnrolMultipleUsers,True,31.763
claroline_v1_7_9_tests/025_AddPasswordCourse,True,22.41
claroline_v1_7_9_tests/026_EnrolPasswordCourseGoodPasswordUser,True,17.479
claroline_v1_7_9_tests/027_EnrolPasswordCourseWrongPasswordUser,True,17.403
claroline_v1_7_9_tests/028_DoCourseExerciseQuestions,True,18.421
claroline_v1_7_9_tests/029_DoCourseExerciseQuestionsMultipleUsers,True,41.504
claroline_v1_7_9_tests/030_ViewProfileStatisticsUser,True,16.316
claroline_v1_7_9_tests/031_RemoveCourseEvent,True,14.096
claroline_v1_7_9_tests/032_RemoveCourseExercise,True,16.257
claroline_v1_7_9_tests/033_RemoveCourseExerciseQuestions,True,15.248
claroline_v1_7_9_tests/034_RemoveEnrolUser,True,12.923
claroline_v1_7_9_tests/035_RemoveEnrolMultipleUsers,True,18.225
claroline_v1_7_9_tests/036_AddEmptyCourse,True,15.144
claroline_v1_7_9_tests/037_RemoveCourse,True,15.222
claroline_v1_7_9_tests/038_RemoveUser,True,15.188
claroline_v1_7_9_tests/039_RemoveMultipleUsers,True,19.254
collabtive_v3_0_tests/001_successLoginTest,True,14.955
collabtive_v3_0_tests/002_addCustomerTest,True,35.811
collabtive_v3_0_tests/003_editCustomerTest,True,22.164
collabtive_v3_0_tests/004_addRoleTest,True,35.25
collabtive_v3_0_tests/005_editRoleTest,True,31.768
collabtive_v3_0_tests/006_addUserTest,True,26.383
collabtive_v3_0_tests/007_editUserTest,True,30.752
collabtive_v3_0_tests/008_addProjectTest,True,23.714
collabtive_v3_0_tests/009_editProjectTest,True,18.016
collabtive_v3_0_tests/010_addMilestoneTest,True,27.708
collabtive_v3_0_tests/011_editMilestoneTest,True,20.914
collabtive_v3_0_tests/012_addTaskListTest,True,23.662
collabtive_v3_0_tests/013_editTaskListTest,True,20.638
collabtive_v3_0_tests/014_addTaskTest,True,29.14
collabtive_v3_0_tests/015_editTaskTest,True,22.57
collabtive_v3_0_tests/016_addTimeTrackTest,True,28.92
collabtive_v3_0_tests/017_editTimeTrackTest,True,23.677
collabtive_v3_0_tests/018_setFilterOfTimeTrackerTest,True,27.102
collabtive_v3_0_tests/019_addFileFolderTest,True,17.829
collabtive_v3_0_tests/020_addFileTest,True,18.942
collabtive_v3_0_tests/021_addMsgTest,True,28.417
collabtive_v3_0_tests/022_editMsgTest,True,20.87
collabtive_v3_0_tests/023_deleteUserFromProjectTest,True,20.062
collabtive_v3_0_tests/024_addUserFromProjectTest,True,18.082
collabtive_v3_0_tests/025_quickSearchAndFindTest,True,18.642
collabtive_v3_0_tests/026_replyMsgTest,True,24.537
collabtive_v3_0_tests/027_deleteFileTest,True,18.377
collabtive_v3_0_tests/028_deleteFileFolderTest,True,18.314
collabtive_v3_0_tests/029_deleteTimeTrackTest,True,17.289
collabtive_v3_0_tests/030_closeTaskTest,True,17.656
collabtive_v3_0_tests/031_openTaskTest,True,18.691
collabtive_v3_0_tests/032_deleteTaskTest,True,17.467
